12/13 assists,12/13 games,12/13 goals,12/13 minutes,13/14 assists,13/14 games,13/14 goals,13/14 minutes,14/15 assists,14/15 games,14/15 goals,14/15 minutes,15/16 assists,15/16 games,15/16 goals,15/16 minutes,16/17 assists,16/17 games,16/17 goals,16/17 minutes,17/18 assists,17/18 games,17/18 goals,17/18 minutes,age,current club,current league,foot,height,name,nationality,position
2.0,15.0,2.0,1131.0,5.0,30.0,5.0,2674.0,2.0,32.0,4.0,2579.0,2.0,28.0,4.0,1635.0,2.0,31.0,3.0,1608.0,0.0,8.0,0.0,453.0,27,Ural Yekaterinburg,Premier Liga,both,182.0,Dmytro Khomchenovsky,Ukraine,W
,,,,,,,,0.0,18.0,0.0,1549.0,,,,,2.0,28.0,1.0,1723.0,0.0,7.0,0.0,359.0,23,Ural Yekaterinburg,Premier Liga,right,175.0,Nikita Glushkov,Russia,W
0.0,16.0,2.0,911.0,2.0,23.0,5.0,1121.0,0.0,26.0,6.0,1353.0,3.0,24.0,4.0,1602.0,2.0,14.0,4.0,846.0,1.0,15.0,3.0,741.0,24,Ural Yekaterinburg,Premier Liga,both,181.0,Giorgi Chanturia,Georgia,W
0.0,11.0,6.0,555.0,3.0,23.0,3.0,1264.0,3.0,19.0,3.0,1386.0,2.0,23.0,6.0,1211.0,1.0,15.0,2.0,661.0,0.0,6.0,0.0,152.0,31,Ural Yekaterinburg,Premier Liga,left,177.0,Edgar Manucharyan,Armenia,W
,,,,0.0,16.0,1.0,756.0,0.0,30.0,1.0,1154.0,5.0,34.0,14.0,1733.0,1.0,39.0,8.0,3115.0,1.0,16.0,1.0,1032.0,25,Ural Yekaterinburg,Premier Liga,right,187.0,Vladimir Iljin,Russia,CF
6.0,27.0,18.0,1909.0,5.0,32.0,7.0,2335.0,3.0,28.0,12.0,2171.0,5.0,31.0,5.0,1803.0,0.0,7.0,1.0,338.0,0.0,7.0,1.0,358.0,29,Ural Yekaterinburg,Premier Liga,right,191.0,Igor Portnyagin,Russia,CF
2.0,27.0,7.0,1852.0,11.0,33.0,15.0,2351.0,1.0,18.0,7.0,1301.0,0.0,10.0,3.0,430.0,0.0,7.0,0.0,267.0,0.0,14.0,1.0,915.0,23,Amkar Perm,Premier Liga,left,189.0,Aaron Olanare,Nigeria,CF
8.0,28.0,4.0,1861.0,2.0,30.0,4.0,1172.0,0.0,21.0,2.0,1140.0,0.0,12.0,0.0,631.0,4.0,25.0,5.0,1952.0,6.0,22.0,1.0,1295.0,29,Amkar Perm,Premier Liga,right,186.0,Darko Bodul,Austria  Croatia,CF
0.0,1.0,0.0,44.0,0.0,2.0,1.0,180.0,2.0,7.0,0.0,585.0,1.0,33.0,14.0,2142.0,4.0,33.0,8.0,2001.0,0.0,6.0,0.0,167.0,22,Amkar Perm,Premier Liga,both,185.0,Aleksey Gasilin,Russia,CF
4.0,17.0,2.0,820.0,3.0,25.0,3.0,1206.0,2.0,21.0,1.0,1299.0,1.0,17.0,1.0,903.0,1.0,24.0,3.0,1745.0,0.0,18.0,2.0,1209.0,26,Anzhi Makhachkala,Premier Liga,right,180.0,Pavel Yakovlev,Russia,W
